X,Y,SITE_NO,ROAD_NAME,LOCATION_DESC,TRAFFIC_YEAR,MON_SUN,MON_FRI,SAT_SUN,PCT_HEAVY_MON_SUN,PCT_HEAVY_MON_FRI,PCT_HEAVY_SAT_SUN,NETWORK_PERFORMANCE_SITE,LG_NO,LG_NAME,RA_NO,RA_NAME,OBJECTID,GlobalID
115.780819,-33.398673,15179,Ferguson Rd,East of Waterloo Rd,2024/25,1934,2060,1626,16.2,20.2,5.7,No,208,Dardanup,2,South West,7317133,{5F822ECB-02F7-4A5E-8B14-CB68029C31F9}
115.141925,-34.2916739999999,15249,Bussell Hwy,South of Caves Rd (Augusta),2025/26,2830,2967,2502,15.7,17.4,11.1,No,201,Augusta - Margaret River,2,South West,7317143,{70FA859D-E873-47C7-ACF6-AE7AAFA28A8C}
115.776451,-34.3292059999999,15286,Vasse Hwy,South of Stewart Rd,2025/26,388,366,425,19.3,21,16,No,216,Nannup,2,South West,7317153,{5BB3270D-1DAA-4108-82A2-70E874607CCC}
115.097139,-34.210134,15521,Bussell Hwy,North of Twenty Four Rd,2020/21,1856,1940,1604,10.9,12.5,7.4,No,201,Augusta - Margaret River,2,South West,7317203,{3998AAFC-3DCD-4724-B52A-EE4A3A3A3D1D}
115.770064,-32.507694,16191,Gordon Rd,West of Lakes Rd,2022/23,7785,8567,5859,10.4,11.9,6.6,No,212,Mandurah (C),2,South West,7317275,{4F705485-E67C-4E52-82CD-070200990309}
115.81507,-32.5713,19126,Pinjarra Rd,At Forrest Hwy Overpass,2021/22,21506,22495,18148,7.5,9,5.4,No,215,Murray,2,South West,7317512,{3863EBB2-470F-4857-A033-B3E7284FAFE4}
115.72482,-33.3677099999999,19222,Martin Pelusey Rd,North of Boyannup Picton Rd,2020/21,3754,3834,3424,13.6,17.3,8.4,No,208,Dardanup,2,South West,7317541,{3E8446D2-D9AD-4437-80C6-833FCCB7FE94}
115.263531,-33.6759999999999,19461,Busselton Bypa,East of Bussell Hwy,2024/25,17356,18544,14537,12.5,13.9,8.9,No,205,Busselton (C),2,South West,7317582,{0F60AB05-7055-46C1-8438-23A573FDE3B3}
115.696901,-33.321028,19574,Hale St,South of Waratah Tce,2024/25,539,568,466,12.4,13.6,9.4,No,208,Dardanup,2,South West,7317613,{E9BCD586-831D-4832-8DD8-3A5C9C242711}
115.706343,-32.8695279999999,50661,Old Coast Rd,Between Knox Rd Acc,2022/23,1670,1576,1906,8.9,9.8,6.3,No,209,Waroona,2,South West,7317697,{78695BC1-E334-41CE-807B-4F2602A398C6}
